#{"t_start": 1773999538.7571719, "env_id": "highway-fast-v0"}
r,l,t
0.0,40,0.654206
1.422222,40,0.840023
0.902318,40,1.016672
9.23005,40,1.205888
3.305366,40,1.385686
0.730611,40,1.563504
5.977778,40,1.801131
2.0,40,1.985991
0.0,40,2.176152
2.385004,40,2.358417
1.377778,40,2.539862
1.644444,40,2.719529
4.90922,40,2.897834
0.688889,40,3.096968
1.61632,40,3.279561
11.68511,40,3.461052
0.688889,40,3.666622
2.963202,40,3.845806
5.20878,40,4.024521
0.666667,40,4.198836
0.733333,40,4.378787
3.466667,40,4.556817
3.42305,40,4.735446
4.244444,40,5.025478
0.0,40,5.256093
11.244444,40,5.455314
2.949229,40,5.654393
1.739201,5,5.681441
4.222222,40,5.869689
0.869247,40,6.050827
3.466667,40,6.230118
0.0,40,6.431243
0.711111,40,6.613284
15.088889,40,6.840631
11.022222,40,7.062219
1.333333,40,7.249431
0.0,40,7.431347
0.0,40,7.623569
0.711111,40,7.804788
8.423473,40,7.98385
0.0,40,8.164294
0.733333,40,8.342196
11.620986,40,8.521542
6.212214,40,8.699577
5.837378,40,8.901489
4.039005,40,9.082841
2.088889,40,9.263844
2.561072,40,9.443598
4.248626,40,9.624865
2.022222,40,9.801513
4.550874,40,9.98309
0.733333,40,10.164199
6.2,40,10.345411
0.711111,40,10.531055
3.533333,40,10.711785
1.905479,40,10.896922
4.243804,40,11.081619
2.711111,40,11.308062
1.622222,40,11.522053
0.823916,40,11.708867
3.111111,40,11.896227
1.731146,40,12.077966
0.0,40,12.268498
9.105932,40,12.456022
4.634685,40,12.642125
1.466667,40,12.829243
2.133333,40,13.009808
4.177778,40,13.191508
0.0,40,13.372393
4.936704,40,13.554468
3.377778,40,13.737786
1.377778,40,13.917223
4.288889,40,14.097327
6.661876,40,14.281687
1.355556,40,14.46333
7.999435,40,14.643999
4.0885,40,14.826673
1.4,40,15.009815
2.827655,40,15.190848
0.666667,40,15.369341
2.111111,40,15.555124
2.733333,40,15.739431
5.197685,40,15.920985
4.837106,40,16.104189
0.733333,40,16.287981
1.368775,40,16.471901
0.0,40,16.656457
7.242827,40,16.834174
7.8,40,17.016679
1.502951,40,17.198133
2.505893,40,17.382134
3.662013,40,17.565988
5.644444,40,17.745388
1.355556,40,17.928039
0.733333,40,18.110687
4.999644,40,18.291854
2.088889,40,18.475586
3.216193,40,18.655943
4.377778,40,18.837005
4.8,40,19.043102
0.0,40,19.227929
12.601539,40,19.412161
1.422222,40,19.59283
2.088889,40,20.076574
4.229436,40,20.256569
6.288889,40,20.434743
2.933333,40,20.614914
3.887636,40,20.79644
1.394675,40,20.976499
3.488889,40,21.156275
4.911111,40,21.336311
2.933333,40,21.515328
2.755556,40,21.696415
0.0,40,21.874492
7.1814,40,22.059419
9.98152,40,22.243011
1.851468,40,22.423209
0.0,40,22.606585
2.711111,40,22.790336
5.040671,40,22.973119
0.849466,40,23.156233
2.933333,40,23.340903
0.0,40,23.527657
0.0,40,23.710807
4.799666,40,23.892325
3.133333,40,24.07437
3.555556,40,24.254239
0.0,40,24.437696
0.0,40,24.619842
1.444444,40,24.803844
2.361437,40,24.988527
3.396221,40,25.170447
1.715166,40,25.362524
0.733333,40,25.555079
0.708806,40,25.742403
0.0,40,25.928672
10.333333,40,26.111798
5.043756,40,26.2924
1.444444,40,26.478311
2.352881,40,26.678618
5.555556,40,26.890813
0.0,40,27.075512
2.133333,40,27.25568
0.733333,40,27.43686
3.444444,40,27.615553
0.0,40,27.795503
7.6,40,27.977545
2.111111,40,28.161248
4.553506,40,28.345303
0.0,40,28.531275
0.0,40,28.713958
0.0,40,28.896464
7.661361,40,29.078989
3.444444,40,29.262683
11.797652,40,29.45113
1.422222,40,29.633938
11.207077,40,29.811347
3.155556,40,29.993439
5.986176,40,30.175508
1.660411,40,30.360051
